primary_id,region,time_period,vehicle_distance_traveled_total_vkm,fuel_switch_cost_$,fuel_switch_savings_$,fuel_switch_net_cost_$
0,louisiana,6,18564984119.009766,0.0,0.0,0.0
0,louisiana,7,18845816642.09458,0.0,0.0,0.0
0,louisiana,8,19149991735.225697,0.0,0.0,0.0
0,louisiana,9,19476741626.023403,0.0,0.0,0.0
0,louisiana,10,19821601947.67671,0.0,0.0,0.0
0,louisiana,11,20181192707.94388,0.0,0.0,0.0
0,louisiana,12,20553373748.16303,0.0,0.0,0.0
0,louisiana,13,20936300156.45861,0.0,0.0,0.0
0,louisiana,14,21328843590.99354,0.0,0.0,0.0
0,louisiana,15,21730191946.41873,0.0,0.0,0.0
0,louisiana,16,22140177177.37143,0.0,0.0,0.0
0,louisiana,17,22559525378.402737,0.0,0.0,0.0
0,louisiana,18,22989130517.402756,0.0,0.0,0.0
0,louisiana,19,23430221278.726482,0.0,0.0,0.0
0,louisiana,20,23883711402.050175,0.0,0.0,0.0
0,louisiana,21,24350688026.59106,0.0,0.0,0.0
0,louisiana,22,24832250729.35365,0.0,0.0,0.0
0,louisiana,23,25329266774.457333,0.0,0.0,0.0
0,louisiana,24,25842365106.46574,0.0,0.0,0.0
0,louisiana,25,26372018414.9109,0.0,0.0,0.0
0,louisiana,26,26918539372.60287,0.0,0.0,0.0
0,louisiana,27,27482412194.279274,0.0,0.0,0.0
0,louisiana,28,28063792958.6061,0.0,0.0,0.0
0,louisiana,29,28662666059.648678,0.0,0.0,0.0
0,louisiana,30,29278759460.868896,0.0,0.0,0.0
0,louisiana,31,29911709375.631218,0.0,0.0,0.0
0,louisiana,32,30561760230.244488,0.0,0.0,0.0
0,louisiana,33,31228548128.551735,0.0,0.0,0.0
0,louisiana,34,31911959233.09521,0.0,0.0,0.0
0,louisiana,35,32611447111.37314,0.0,0.0,0.0
71071,louisiana,6,18564984119.009766,0.0,0.0,0.0
71071,louisiana,7,18845816642.094593,0.0,0.0,0.0
71071,louisiana,8,19149991735.225697,0.0,0.0,0.0
71071,louisiana,9,19476741626.023403,0.0,0.0,0.0
71071,louisiana,10,19821601947.67671,0.0,0.0,0.0
71071,louisiana,11,20181192707.943893,0.0,0.0,0.0
71071,louisiana,12,20553373748.163036,0.0,0.0,0.0
71071,louisiana,13,20824895772.041885,26530985.416628666,12633802.579346985,13897182.837281682
71071,louisiana,14,21105230000.233337,53776264.2829191,25607744.89662814,28168519.38629096
71071,louisiana,15,21393733430.681244,81767059.37015967,38936694.938171275,42830364.431988396
71071,louisiana,16,21690423350.679127,110534681.54591298,52635562.64091094,57899118.90500204
71071,louisiana,17,21996232584.35977,140116361.75867447,66722077.02794022,73394284.73073426
71071,louisiana,18,22312284576.370686,170555541.74790025,81216924.64185725,89338617.106043
71071,louisiana,19,22640065781.026707,201904625.67022446,96145059.84296402,105759565.82726043
71071,louisiana,20,22980774163.96913,234220652.38882008,111533643.99467623,122687008.39414385
71071,louisiana,21,23335813863.869385,267569129.60150585,127413871.2388123,140155258.36269355
71071,louisiana,22,23706636940.20351,302023331.0277837,143820633.8227541,158202697.20502958
71071,louisiana,23,24094497870.16017,337661161.17597437,160791029.13141635,176870132.04455802
71071,louisiana,24,24500443345.45982,374563740.7541842,178363686.07342103,196200054.68076316
71071,louisiana,25,24925395684.720047,412815464.5526076,196578792.64409885,216236671.90850875
71071,louisiana,26,25370145030.623325,452503070.01316404,215477652.38722095,237025417.6259431
71071,louisiana,27,25835691858.666164,493721340.6256409,235105400.29792425,258615940.32771668
71071,louisiana,28,26322727241.32018,536563851.4285897,255506595.91837606,281057255.5102136
71071,louisiana,29,26831780197.626133,581124189.4127052,276725804.48224056,304398384.9304646
71071,louisiana,30,27363122092.04166,627492728.9065475,298806061.3840703,328686667.52247727
71071,louisiana,31,27916931014.62722,675758969.3096529,321789985.385549,353968983.9241039
71071,louisiana,32,28494072808.398792,726030841.5611919,345728972.1719962,380301869.38919574
71071,louisiana,33,29094754371.646137,778403059.4951643,370668123.56912583,407734935.92603844
71071,louisiana,34,29719455338.872566,832979035.5722023,396656683.60581064,436322351.9663917
71071,louisiana,35,30368181159.338715,889850731.8649579,423738443.74521804,466112288.1197399
